inv_no,invoice_date,customer,location,quantity,price,partner
225296,10-01-2022,Psi Wholesale,Unknown,36,2045.28,78119507
780836,14-04-2023,Chi Enterprises,Hyderabad,449,2765.72,78119507
110561,,Psi Wholesale,Ahmedabad,179,1899.8,78119507
689355,16-08-2022,Zenith Enterprises,Ahmedabad,266,1998.86,78119507
153073,18-01-2023,Pi Markets,Ahmedabad,49142,2740.7,78119507
351989,ERROR,Omega Markets,Jaipur,333,2499.29,78119507
443881,09-11-2023,Epsilon Retailers,Kolkata,258,,78119507
977723,27-06-2022,Epsilon Retailers,Bangalore,469,3551.4,78119507
369697,13-12-2022,Gamma Traders,Hyderabad,146,48.45,78119507
621446,,Nu Retailers,Mumbai,152,3071.11,78119507
295624,,Mu Logistics,Chennai,258,3460.3,78119507
656919,28-07-2023,Psi Wholesale,Unknown,79,,78119507
392208,27-05-2023,Lambda Traders,,,393.78,78119507
603840,16-02-2022,Delta Logistics,Pune,421,133055.27,78119507
163512,22-04-2022,Tau Traders,,282,1659.27,78119507
795694,10-04-2024,Xi Enterprises,Kolkata,326,4002.21,78119507
380091,10-04-2022,Alpha Distributors,Mars,35101,2204.7,78119507
215937,14-06-2022,Zenith Enterprises,Jaipur,292,2534.12,78119507
380340,28-05-2024,Mu Logistics,Hyderabad,30708,1031.56,78119507
999959,19-07-2023,Psi Wholesale,Mumbai,ERROR,433.32,78119507
944831,30-05-2023,Sigma Supplies,Bangalore,,4823.31,78119507
812674,27-09-2022,Phi Retailers,Pune,264,4743.98,78119507
474645,23-10-2022,Iota Distributors,,460,1739.18,78119507
405263,08-08-2024,Psi Wholesale,Pune,198,1345.58,78119507
771512,19-01-2022,Nu Retailers,XYZ,,4086.43,78119507
710301,03-09-2023,Prime Logistics,Delhi,,3979.79,78119507
835751,14-03-2024,Eta Wholesale,Bangalore,,4988.18,78119507
482788,07-12-2023,Rho Distributors,Chennai,373,2411.4,78119507
958994,19-02-2024,Psi Wholesale,Hyderabad,,3220.77,78119507
469734,23-10-2022,Omicron Wholesale,Jaipur,290,1365.96,78119507
387263,,Rho Distributors,Coimbatore,25602,1927.24,78119507
625793,03-02-2024,Sigma Supplies,Coimbatore,37654,4750.27,78119507
544092,22-09-2023,Prime Logistics,Chennai,70,2570.5,78119507
889813,06-06-2023,Beta Supplies,Pune,419,321.53,78119507
297312,06-02-2023,Theta Markets,Chennai,1,,78119507
598240,13-01-2023,Epsilon Retailers,Mumbai,426,3659.39,78119507
182921,20-09-2024,Gamma Traders,Jaipur,168,2137.69,78119507
317864,20-02-2022,Omicron Wholesale,Hyderabad,443,1208.5,78119507
227092,18-02-2022,Lambda Traders,Jaipur,ERROR,3066.03,78119507
996772,,Gamma Traders,Delhi,360,,78119507
591425,17-12-2023,Gamma Traders,Coimbatore,405,4997.15,78119507
399448,04-03-2024,Omega Markets,Hyderabad,346,1257,78119507
258045,06-12-2022,Vertex Distributors,Hyderabad,488,394.04,78119507
393690,08-02-2023,Alpha Distributors,Chennai,10306,ERROR,78119507
680868,10-10-2023,Prime Logistics,Pune,419,3279.56,78119507
702012,ERROR,Kappa Supplies,,40392,2382.36,78119507
752989,ERROR,Orbit Retailers,Kolkata,20587,4417.83,78119507
190388,22-09-2024,Zeta Enterprises,,171,4688.27,78119507
126016,03-08-2022,Epsilon Retailers,Bangalore,330,1575.33,78119507
981553,04-08-2024,Omega Markets,Delhi,159,3553.81,78119507
909706,10-06-2023,Iota Distributors,Delhi,269,ERROR,78119507
819404,14-01-2022,Omicron Wholesale,Coimbatore,16,4046.47,78119507
