inv_no,inv_date,customer,location,quantity,price,partner,mode,brand_name
676841,2022-11-29,Apex Traders,Ahmedabad,13496,3134.77,33417524,ship,BrandC
567623,2022-08-17,Alpha Distributors,Mumbai,107,2627.63,33417524,truck,BrandD
965901,,Omicron Wholesale,Ahmedabad,329,2276.91,33417524,rail,BrandC
139032,2024-01-01,Epsilon Retailers,Ahmedabad,370,,33417524,truck,BrandB
848518,2024-08-31,Gamma Traders,Chennai,13802,ERROR,33417524,truck,BrandB
835208,2023-02-04,Eta Wholesale,XYZ,84,225.91,33417524,ship,BrandB
720669,2024-07-02,Kappa Supplies,Pune,ERROR,3179.18,33417524,ship,BrandD
862619,2024-09-03,Beta Supplies,Bangalore,300,1146.88,33417524,rail,BrandC
626976,2022-12-02,Kappa Supplies,Jaipur,365,3865.18,33417524,air,BrandC
756797,2022-03-14,Omega Markets,Jaipur,ERROR,4553.97,33417524,ship,BrandA
683364,2024-05-25,Kappa Supplies,Delhi,447,3100.41,33417524,rail,BrandA
882839,2023-03-05,Nova Supplies,Mumbai,ERROR,822.32,33417524,ship,BrandA
468899,2024-02-23,Upsilon Logistics,Jaipur,143,2906.34,33417524,truck,BrandD
227975,,Epsilon Retailers,Mumbai,400,430257.56,33417524,rail,BrandB
536418,2022-07-09,Orbit Retailers,,42,2894.39,33417524,air,BrandB
853770,,Xi Enterprises,,3,4226.53,33417524,air,BrandC
920244,2024-08-16,Chi Enterprises,Hyderabad,387,3400.73,33417524,ship,BrandC
424572,ERROR,Epsilon Retailers,Chennai,258,4953.96,33417524,ship,BrandB
154206,2023-12-10,Eta Wholesale,Coimbatore,307,921.66,33417524,truck,BrandA
103864,2022-11-23,Omega Markets,Jaipur,95,3019.37,33417524,rail,BrandB
161762,2024-05-10,Theta Markets,Mumbai,ERROR,202.93,33417524,truck,BrandD
462006,2022-10-30,Gamma Traders,Mumbai,25642,342589.48,33417524,ship,BrandC
751369,2023-07-29,Pi Markets,Delhi,ERROR,19.66,33417524,truck,BrandC
151683,,Xi Enterprises,Coimbatore,401,940.96,33417524,truck,BrandC
610470,ERROR,Phi Retailers,Kolkata,122,474934.78,33417524,rail,BrandB
682587,ERROR,Gamma Traders,Jaipur,229,3325.3,33417524,truck,BrandC
604455,ERROR,Vertex Distributors,Chennai,395,3438.23,33417524,ship,BrandA
553187,2024-08-06,Eta Wholesale,Chennai,278,1734.14,33417524,ship,BrandC
849572,2023-11-28,Zeta Enterprises,Bangalore,26,358725.88,33417524,air,BrandA
337573,2022-02-26,Vertex Distributors,Hyderabad,119,325.76,33417524,air,BrandC
617188,2023-02-12,Zeta Enterprises,Coimbatore,278,ERROR,33417524,rail,BrandD
968011,2023-06-27,Mu Logistics,Kolkata,106,3033.3,33417524,truck,BrandC
430571,,Theta Markets,Coimbatore,37849,2125.61,33417524,rail,BrandB
852133,2022-01-18,Zenith Enterprises,Bangalore,116,4731.03,33417524,air,BrandA
504064,2024-05-06,Eta Wholesale,Hyderabad,7,360.81,33417524,rail,BrandC
959685,2024-05-07,Prime Logistics,Jaipur,143,1590.35,33417524,air,BrandB
356614,2022-08-10,Phi Retailers,XYZ,417,2645.3,33417524,rail,BrandA
593858,2024-06-02,Theta Markets,Chennai,40,1903.37,33417524,rail,BrandB
658071,2022-05-25,Alpha Distributors,Bangalore,143,ERROR,33417524,truck,BrandD
714395,2022-12-01,Orbit Retailers,Delhi,224,3206.67,33417524,truck,BrandB
