invoiceNumber,date,cust,warehouse,qty_units,amount,partner_code
641710,,Gamma Traders,Jaipur,145,4873.07,42541284
889505,ERROR,Nu Retailers,Kolkata,42,3171.87,42541284
114978,2022-04-19,Xi Enterprises,Delhi,20,1921.13,42541284
579810,2022-06-10,Omega Markets,Coimbatore,84,1744.03,42541284
520280,ERROR,Upsilon Logistics,Ahmedabad,307,3717.59,42541284
153393,2024-04-21,Phi Retailers,XYZ,201,2090.74,42541284
618322,2023-07-24,Lambda Traders,Delhi,15,2235.17,42541284
658892,2022-12-19,Rho Distributors,XYZ,29373,3580.11,42541284
503323,2022-06-01,Xi Enterprises,Pune,417,3999.61,42541284
319470,2024-09-17,Upsilon Logistics,XYZ,128,,42541284
176052,2023-10-14,Xi Enterprises,Hyderabad,184,2362.69,42541284
653961,2023-06-07,Kappa Supplies,Hyderabad,,ERROR,42541284
683728,ERROR,Mu Logistics,Chennai,,4300.92,42541284
939233,2023-04-04,Mu Logistics,Hyderabad,39021,988.39,42541284
971889,2024-06-01,Omicron Wholesale,Pune,ERROR,94.17,42541284
280716,2022-02-14,Nu Retailers,Chennai,162,,42541284
810636,2023-06-11,Nova Supplies,Kolkata,93,3410.46,42541284
756342,2022-09-11,Phi Retailers,Bangalore,451,639.71,42541284
468883,2022-10-04,Delta Logistics,Jaipur,26,2473.74,42541284
356967,2022-02-28,Xi Enterprises,Delhi,32301,3278.01,42541284
903859,2022-06-07,Eta Wholesale,Unknown,41863,3080.79,42541284
943977,ERROR,Vertex Distributors,Hyderabad,52,2618.9,42541284
875827,2024-05-23,Nu Retailers,Ahmedabad,1,3760.46,42541284
624371,2024-05-05,Rho Distributors,Pune,431,2230.89,42541284
842618,2022-03-19,Mu Logistics,Bangalore,187,407.85,42541284
109828,2022-08-20,Iota Distributors,Jaipur,71,,42541284
213851,2022-01-04,Eta Wholesale,Ahmedabad,ERROR,,42541284
385544,,Nu Retailers,Ahmedabad,ERROR,806.06,42541284
901595,2024-03-27,Pi Markets,Pune,446,4272.68,42541284
524296,2024-06-24,Nova Supplies,Mars,385,,42541284
414095,2024-05-04,Lambda Traders,Chennai,25,267.82,42541284
920057,2022-12-25,Zenith Enterprises,Coimbatore,23081,2098.71,42541284
152180,,Omega Markets,Hyderabad,433,,42541284
618177,2022-04-04,Tau Traders,Jaipur,19,3756.07,42541284
781919,2024-09-23,Nu Retailers,Coimbatore,12386,1351.99,42541284
960956,2023-03-02,Upsilon Logistics,Jaipur,451,4514.48,42541284
528448,2024-04-11,Kappa Supplies,Unknown,469,1282.67,42541284
719251,2024-03-12,Upsilon Logistics,Coimbatore,478,,42541284
595687,2023-10-25,Mu Logistics,Ahmedabad,140,148.5,42541284
971961,2023-02-28,Lambda Traders,Pune,339,3687.28,42541284
951600,2024-06-22,Orbit Retailers,,141,4969.91,42541284
750001,2023-11-11,Beta Supplies,Mumbai,27,1254.64,42541284
547041,2023-06-25,Phi Retailers,Coimbatore,486,4407.34,42541284
379604,2022-06-20,Psi Wholesale,Hyderabad,193,272112.74,42541284
500469,ERROR,Nu Retailers,Chennai,233,4241.72,42541284
118924,2023-11-08,Rho Distributors,Jaipur,437,4516.05,42541284
540494,2023-02-01,Theta Markets,Chennai,220,4175.33,42541284
376465,,Psi Wholesale,Ahmedabad,20,4562.67,42541284
115172,2024-01-08,Prime Logistics,Kolkata,68,1151.75,42541284
148145,2023-02-03,Delta Logistics,Jaipur,40,4373.15,42541284
557134,2023-08-16,Vertex Distributors,XYZ,383,3761.22,42541284
160061,2024-04-06,Nova Supplies,Jaipur,,237364.6,42541284
116463,2023-11-08,Sigma Supplies,Delhi,ERROR,1056.5,42541284
739904,2022-07-15,Zenith Enterprises,Kolkata,25321,ERROR,42541284
191146,2023-02-12,Eta Wholesale,Delhi,68,403577.45,42541284
619286,2022-11-21,Nu Retailers,Delhi,ERROR,3902.8,42541284
114155,2022-11-01,Mu Logistics,Jaipur,138,,42541284
370589,2022-10-06,Nu Retailers,Jaipur,ERROR,2602.73,42541284
496347,2024-01-26,Omicron Wholesale,Bangalore,360,3197.62,42541284
730899,2022-11-28,Pi Markets,Pune,465,ERROR,42541284
120714,2023-09-12,Upsilon Logistics,Kolkata,63,988.97,42541284
530624,2024-09-24,Zenith Enterprises,Bangalore,276,1681.95,42541284
264322,2023-02-14,Delta Logistics,Jaipur,122,3853.74,42541284
389833,2022-03-16,Chi Enterprises,Coimbatore,408,4869.84,42541284
550052,ERROR,Mu Logistics,Mumbai,18672,1527.09,42541284
109811,2022-12-04,Orbit Retailers,,395,1282.91,42541284
677202,2024-02-10,Xi Enterprises,Hyderabad,18000,280295.26,42541284
750038,2022-02-23,Mu Logistics,Pune,131,4247.94,42541284
686541,2024-06-10,Xi Enterprises,Jaipur,227,4964.05,42541284
668165,2024-06-19,Nova Supplies,Delhi,363,150.22,42541284
878430,2023-06-07,Rho Distributors,Coimbatore,ERROR,4762.54,42541284
897336,2024-05-23,Prime Logistics,XYZ,ERROR,,42541284
514332,2023-07-29,Omicron Wholesale,Bangalore,33126,ERROR,42541284
790507,2024-04-21,Apex Traders,Ahmedabad,ERROR,4209.04,42541284
809367,2022-12-05,Zenith Enterprises,,490,1573.17,42541284
287472,2023-12-27,Apex Traders,Chennai,29,,42541284
343603,2022-05-30,Chi Enterprises,Jaipur,39,3957.58,42541284
163484,2023-10-30,Epsilon Retailers,Bangalore,146,258184.54,42541284
384638,2022-01-30,Mu Logistics,Pune,96,3811.71,42541284
